,Date-Time,Lattitude,Longitude,Depth,Mag,Location
0,31 May 2018 - 11:44 PM,04.02,126.50,039,4.7,194 km S 36° E of Sarangani (Davao Occidental)
1,31 May 2018 - 11:27 PM,17.38,121.83,024,2.5,006 km S 67° E of Santo Tomas (Isabela)
2,31 May 2018 - 11:22 PM,06.18,126.35,001,2.7,060 km S 31° E of Governor Generoso (Davao Oriental)
3,31 May 2018 - 11:19 PM,15.07,120.01,018,2.0,007 km N 84° W of San Felipe (Zambales)
4,31 May 2018 - 09:56 PM,12.90,124.33,031,2.1,021 km N 79° E of Barcelona (Sorsogon)
5,31 May 2018 - 08:53 PM,10.07,123.66,025,2.2,005 km S 28° E of Carcar (Cebu)
6,31 May 2018 - 06:46 PM,15.73,121.62,024,2.0,007 km S 63° E of Baler (Aurora)
7,31 May 2018 - 04:29 PM,17.94,120.47,001,2.5,008 km N 09° E of Sinait (Ilocos Sur)
8,31 May 2018 - 10:50 AM,09.85,126.35,023,2.5,023 km N 70° E of General Luna (Surigao Del Norte)
9,31 May 2018 - 08:14 AM,13.98,120.34,009,2.4,028 km S 79° W of Mamburao (Occidental Mindoro)
10,31 May 2018 - 08:05 AM,10.60,125.00,002,2.5,004 km S 77° E of Mahaplag (Leyte)
11,31 May 2018 - 05:05 AM,09.04,125.77,022,2.4,021 km S 84° E of Remedios Romualdez (Agusan Del Norte)
12,31 May 2018 - 03:15 AM,08.19,126.89,032,2.3,056 km N 72° E of Lingig (Surigao Del Sur)
13,31 May 2018 - 02:51 AM,13.67,121.42,019,2.1,023 km N 84° E of Lobo (Batangas)
14,31 May 2018 - 02:29 AM,05.46,124.93,020,2.7,045 km S 12° W of Maasim (Sarangani)
15,31 May 2018 - 02:01 AM,06.31,125.45,060,2.2,031 km N 38° E of Alabel (Sarangani)
16,31 May 2018 - 12:48 AM,17.33,121.83,033,2.4,015 km N 15° W of Ilagan (Isabela)
17,30 May 2018 - 10:55 PM,09.42,123.05,006,2.6,011 km S 39° W of Pamplona (Negros Oriental)
18,30 May 2018 - 10:50 PM,05.47,125.52,022,2.5,007 km N 49° E of Sarangani (Davao Occidental)
19,30 May 2018 - 08:55 PM,20.85,121.85,032,2.1,006 km N 08° E of Itbayat (Batanes)
20,30 May 2018 - 08:31 PM,09.15,126.70,014,3.6,050km N 66° E of Bayabas (Surigao Del Sur)
21,30 May 2018 - 06:46 PM,18.07,120.52,026,4.2,001 km N 06° E of Paoay (Ilocos Norte)
22,30 May 2018 - 06:23 PM,18.05,120.87,066,2.3,011 km S 61° E of Solsona (Ilocos Norte)
23,30 May 2018 - 05:29 PM,14.22,124.25,003,2.4,021 km N 27° E of Pandan (Catanduanes)
24,30 May 2018 - 04:18 PM,10.30,126.08,018,2.8,031 km N 01° E of Burgos (Surigao Del Norte)
25,30 May 2018 - 02:59 PM,08.80,122.09,011,2.7,090 km S 42° W of Basay (Negros Oriental)
26,30 May 2018 - 02:20 PM,11.24,125.71,057,3.0,012 km N 29° E of S (Eastern Samar)
27,30 May 2018 - 01:53 PM,14.00,120.32,060,2.0,027 km N 54° E of Nasugbu (Batangas)
28,30 May 2018 - 11:10 AM,10.11,126.09,013,3.2,011 km N 09° E of Burgos (Surigao Del Norte)
29,30 May 2018 - 10:57 AM,13.94,120.34,075,3.2,026 km N 23° E of Lubang (Occidental Mindoro)
30,30 May 2018 - 10:15 AM,09.14,126.04,128,2.1,010 km S 18° E of Carmen (Surigao Del Sur)
31,30 May 2018 - 06:59 AM,07.57,123.54,009,3.4,023 km S 74° E of Dinas (Zamboanga Del Sur)
32,30 May 2018 - 06:58 AM,06.82,126.19,041,2.4,013 km S 76° E of San Isidro (Davao Oriental)
33,30 May 2018 - 06:35 AM,13.79,120.57,013,2.0,009 km S 55° W of Calatagan (Batangas)
34,30 May 2018 - 03:37 AM,05.29,126.28,112,2.4,091 km S 80° E of Saranggani (Davao Occidental)
35,29 May 2018 - 11:17 PM,04.69,127.91,031,3.5,282 km S 73° E of Saranggani (Davao Occidental)
36,29 May 2018 - 11:05 PM,14.53,119.06,033,2.0,120 km S 67° W of San Antonio (Zambales)
37,29 May 2018 - 10:49 PM,13.71,120.43,036,2.6,020 km S 85° E of Looc (Occidental Mindoro)
38,29 May 2018 - 08:54 PM,10.21,125.99,026,2.2,022 km N 14° W of Santa Monica (Sapao) (Surigao Del Norte)
39,29 May 2018 - 08:49 PM,19.40,120.41,076,3.2,102 km N 14° W of Burgos (Ilocos Norte)
40,29 May 2018 - 08:18 PM,07.62,125.33,006,3.0,028 km S 62° E of Quezon (Bukidnon)
41,29 May 2018 - 04:45 PM,09.43,126.36,002,2.7,026 km N 48° E of Cortes (Surigao Del Sur)
42,29 May 2018 - 11:24 AM,10.69,125.23,154,3.4,019 km N 24° E of Silago (Southern Leyte)
43,29 May 2018 - 06:36 AM,13.56,120.74,125,2.3,013 km N 03° E of Abra de Ilog (Occidental Mindoro)
44,29 May 2018 - 06:24 AM,16.19,122.08,040,2.0,011 km S 27° W of Casiguran (Aurora)
45,29 May 2018 - 01:48 AM,11.51,124.40,005,2.4,006 km S 03° E of Naval (Biliran)
46,29 May 2018 - 01:11 AM,15.04,119.91,019,2.9,018  km S 81° W of San Felipe (Zambales)
47,28 May 2018 - 10:54 PM,18.99,121.76,003,2.0,045  km S 44° E of Calayan (Cagayan)
48,28 May 2018 - 10:44 PM,10.67,125.33,003,2.7,025  km N 50° E of Silago (Southern Leyte)
49,28 May 2018 - 10:41 PM,08.87,126.64,016,2.3,038  km S 81° E of Cagwait  (Surigao Del Sur)
50,28 May 2018 - 09:38 PM,13.58,121.17,023,2.1,009  km S 32° W of Lobo (Batangas)
51,28 May 2018 - 08:06 PM,08.69,126.78,025,2.5,055  km S 77° E of Marihatag (Surigao del Sur)
52,28 May 2018 - 06:14 PM,05.95,125.58,041,3.1,008  km N 32° W of Jose Abad Santos (Davao Occidental)
53,28 May 2018 - 06:09 PM,05.27,126.47,041,2.6,112 km S 80° E of Sarangani (Davao Occidental)
54,28 May 2018 - 05:49 PM,06.02,126.12,096,2.8,058 km N 75° E of Jose Abad Santos (Davao Occidental)
55,28 May 2018 - 04:57 PM,15.96 ,120.10,029,2.1,012 km S 05° E of Sual (Pangasinan)
56,28 May 2018 - 01:57 PM,15.06,119.96,019,2.1,012 km S 88° W of San Felipe (Zambales)
57,28 May 2018 - 01:05 PM,06.74,125.90,021,2.5,021 km S 35° W of Lupon (Davao Oriental)
58,28 May 2018 - 10:42 AM,05.30,126.50,060,3.1,115 km S 82° E of Saranggani (Davao Occidental)
59,28 May 2018 - 09:06 AM,07.01,125.35,033,1.8,026 km N 04° W of Digos City (Davao Del Sur)
60,28 May 2018 - 06:12 AM,11.11,124.68,003,3.0,014 km N 32° E of Ormoc City (Leyte)
