,Date-Time,Latitude,Depth,Mag,Location
0,30 November 2018 - 09:48 PM,126.13,076,2.5,060 km S 71° E of Jose Abad Santos (Davao Occidental)
1,30 November 2018 - 09:13 PM,126.26,025,2.5,012 km S 70° E of General Luna (Surigao Del Norte)
2,30 November 2018 - 09:12 PM,122.42,032,2.2,066 km S 22° W of Basay (Negros Oriental)
3,30 November 2018 - 08:35 PM,120.40,067,2.0,025 km N 41° E of Looc (Occidental Mindoro)
4,30 November 2018 - 08:16 PM,126.41,022,2.1,016 km N 17° W of Cateel (Davao Oriental)
5,30 November 2018 - 07:03 PM,126.55,048,2.8,104 km S 81° E of Jose Abad Santos (Davao Occidental)
6,30 November 2018 - 06:00 PM,126.54,023,2.7,044 km N 74° E of General Luna (Surigao Del Norte)
7,30 November 2018 - 04:54 PM,121.36,026,2.2,007 km S 50° W of Socorro (Oriental Mindoro)
8,30 November 2018 - 04:54 PM,121.86,033,2.0,007 km N 18° E of Buguey (Cagayan)
9,30 November 2018 - 04:09 PM,120.13,021,2.1,015 km S 48° E of Subic (Zambales)
10,30 November 2018 - 03:16 PM,125.79,108,2.7,020 km S 80° E of Jose Abad Santos (Davao Occidental)
11,30 November 2018 - 02:23 PM,122.23,009,2.8,009 km S 25° W of Romblon (Romblon)
12,30 November 2018 - 01:44 PM,125.33,036,2.7,018 km N 30° E of Pintuyan (Southern Leyte)
13,30 November 2018 - 12:18 PM,126.34,003,2.8,011 km N 34° E of Bayabas (Surigao del Sur)
14,30 November 2018 - 11:16 AM,126.23,019,3.5,018 km N 71° E of Burgos (Surigao del Norte)
15,30 November 2018 - 05:19 AM,126.61,060,2.6,139 km S 65° E of Sarangani (Davao Occidental)
16,30 November 2018 - 05:16 AM,126.00,030,2.1,012 km N 76° E of Pantukan (Compostela Valley)
17,30 November 2018 -02:18 AM,126.67,009,3.0,074 km N 62° E of Burgos (Surigao Del Norte)
18,30 November 2018 - 01:05 AM,126.75,102,4.2,215 km S 41° E of Sarangani (Davao Occidental)
19,30 November 2018 - 12:28 AM,125.42,146,2.6,092 km S 04° W of Sarangani (Davao Occidental)
20,30 November 2018 - 12:07 AM,126.96,194,2.4,106 km S 32° E of Tarragona (Davao Oriental)
21,29 November 2018 - 08:52 PM,126.11,011,2.6,004 km S 34° E of San Isidro (Surigao del Norte)
22,29 November 2018 - 07:56 PM,120.32,018,2.5,022 km S 89° E of Lubang (Occidental Mindoro)
23,29 November 2018 - 07:52 PM,122.51,018,2.4,057 km N 34° E of Patnanungan (Quezon)
24,29 November 2018 - 06:51 PM,123.81,006,3.1,030 km S 67° W of Kalamansig (Sultan Kudarat)
25,29 November 2018 - 06:47 PM,123.70,001,3.5,047 km S 57° W of Kalamansig (Sultan Kudarat)
26,29 November 2018 - 05:06 PM,126.81,107,2.4,031 km S 60° E of Baganga (Davao Oriental)
27,29 November 2018 - 04:06 PM,126.70,190,3.9,214 km S 07° E of Sarangani (Davao Occidental)
28,29 November 2018 - 02:40 PM,126.69,014,2.5,030 km N 59° E of Cateel (Davao Oriental)
29,29 November 2018 - 02:21 PM,126.39,095,2.7,051 km S 43° E of Governor Generoso (Davao Oriental)
30,29 November 2018 - 10:42 AM,120.52,112,2.3,013 km S 77° W of Calatagan (Batangas)
31,29 November 2018 - 09:38 AM,125.56,008,3.4,238 km S 02° E of Sarangani (Davao Occidental)
32,29 November 2018 - 06:43 AM,124.61,001,1.8,010 km N 83° E of Mabini (Bohol)
33,29 November 2018 - 04:30 AM,127.30,077,4.0,214 km S 71° E of Sarangani (Davao Occidental)
34,29 November 2018 - 04:05 AM,126.360,02,3.1,029 km S 50° E of General Luna (Surigao del Norte)
35,29 November 2018 - 03:52 AM,126.03,020,2.2,029 km N 10° W of Burgos (Surigao del Norte)
36,29 November 2018 - 03:42 AM,125.98,025,2.7,035 km S 64° E of Don Marcelino (Davao Occidental)
37,29 November 2018 - 02:58 AM,126.07,006,3.3,045 km N 00° E of Burgos (Surigao del Norte)
38,29 November 2018 - 02:52 AM,126.16,017,3.5,040 km N 15° E of Burgos (Surigao del Norte)
39,29 November 2018 - 12:22 AM,122.19,004,2.2,051 km S 35° E of Anini-y (Antique)
40,29 November 2018 - 12:08 AM,126.34,026,3.4,056 km S 32° E of Governor Generoso (Davao Oriental)
41,28 November 2018 - 10:43 PM,125.13,031,2.1,009 km N 73° E of Libagon (Southern Leyte)
42,28 November 2018 - 10:18 PM,126.84,026,2.5,049 km N 74° E of Lingig (Surigao Del Sur)
43,28 November 2018 - 10:13 PM,123.69,028,2.0,013 km S 31° W of Panglao (Bohol)
44,28 November 2018 - 10:04 PM,121.34,017,2.8,020 km S 41° W of Calayaan (Cagayan)
45,28 November 2018 - 09:25 PM,119.14,023,1.9,081 km S 82° W of Bolinao (Pangasinan)
46,28 November 2018 - 09:19 PM,119.95,034,1.8,013 km S 61° W of San Narciso (Zambales)
47,28 November 2018 - 08:57 PM,121.78,033,2.1,049 km N 42° E of Calayaan (Cagayan)
48,28 November 2018 - 07:13 PM,126.37,006,2.8,080 km S 68° E of Don Marcelino (Davao Occidental)
49,28 November 2018 - 05:06 PM,126.12,024,1.8,011 km N 72° W of San Agustin (Surigao Del Sur)
50,28 November 2018 - 12:45 PM,123.57,028,2.6,005 km N 53° E of Dalaguete (Cebu)
51,28 November 2018 - 11:02 AM,120.35,018,2.3,017 km N 51° W of Paluan (Occidental Mindoro)
52,28 November 2018 - 10:13 AM,120.38,120,2.4,015 km S 80° E of Looc (Occidental Mindoro)
53,28 November 2018 - 10:04 AM,126.14,005,2.2,009 km N 12° E of Maragusan (San Mariano) (Compostella Valley)
54,28 November 2018 - 10:01 AM,120.03,014,2.9,045 km S 82° W of Candon City (Ilocos Sur)
55,28 November 2018 - 08:47 AM,125.98,033,2.2,033 km S 40° E of Talacogon (Agusan del Sur)
56,28 November 2018 - 07:41 AM,126.82,034,2.8,129 km S 39° E of Governor Generoso (Davao Occidental)
57,28 November 2018 - 04:00 AM,122.22,030,2.3,060 km S 31° W of Hinoba-an (Negros Occidental)
58,28 November 2018 - 03:53 AM,120.75,031,2.6,008 km S 39° E of Manabo (Abra)
59,28 November 2018 - 03:42 AM,126.31,136,2.4,074 km S 68° E of Don Marcelino (Davao Occidental)
60,28 November 2018 - 03:31 AM,120.58,024,2.4,022 km S 14° W of Calatagan (Batangas)
61,28 November 2018 - 03:28 AM,126.95,020,3.0,048 km S 74° E of Manay (Davao Oriental)
62,28 November 2018 - 02:25 AM,121.07,013,2.4,046 km N 01° W of Claveria (Cagayan)
63,28 November 2018 - 01:21 AM,125.40,001,2.1,004 km S 24° W of San Francisco (Anao-aon)  (Surigao del Norte)
64,28 November 2018 - 12:20 AM,125.68,013,3.3,010 km S 78° E of Remedios Romualdez (Agusan del Norte)
65,28 November 2018 - 12:04 AM,122.75,024,2.4,017 km N 87° E of Candoni (Negros Occidental)
66,27 November 2018 - 10:36 PM,119.80,033,2.1,037 km S 69° W of Lubang (Occidental Mindoro)
67,27 November 2018 - 09:44 PM,119.98,028,2.0,013 km S 56° W of San Narciso (Zambales)
68,27 November 2018 - 07:36 PM,124.83,001,2.8,009 km N 76° E of Wao (Lanao Del Sur)
69,27 November 2018 - 06:06 PM,126.58,001,3.5,071 km N 51° E of Burgos (Surigao Del Norte)
70,27 November 2018 - 03:16 PM,122.68,019,3.1,039 km N 83° W of Jose Dalman (Ponot) (Zamboanga Del Norte)
71,27 November 2018 - 12:10 PM,121.71,001,2.7,035 km S 80° E of Dingalan (Aurora)
72,27 November 2018 - 07:03 AM,119.84,013,3.3,024 km S 84° W of San Felipe (Zambales)
73,27 November 2018 - 06:48 AM,126.02,001,2.1,006 km S 28° W of Santa Josefa (Agusan Del Sur)
74,27 November 2018 - 06:45 AM,123.68,065,2.7,042 km S 83° W of Kalamansig (Sultan Kudarat)
75,27 November 2018 - 06:32 AM,119.58,033,2.7,025 km S 45° W of Lubang (Occidental Mindoro)
76,27 November 2018 - 06:18 AM,124.12,022,2.7,003 km N 88° E of Sagbayan (Bohol)
77,27 November 2018 - 05:47 AM,122.70,001,2.5,043 km S 59° W of Siaton  (Negros Oriental)
78,27 November 2018 - 05:36 AM,126.00,058,3.5,140 km S 25° E of Sarangani  (Davao Occidental)
79,27 November 2018 - 03:50 AM,125.25,033,2.3,011 km S 07° W of Anahawan  (Southern Leyte)
80,27 November 2018 - 03:48 AM,126.22,021,3.0,029 km S 32° E of Governor Generoso  (Davao Oriental)
81,27 November 2018 - 02:00 AM,128.26,204,4.6,392 km S 52° E of Sarangani  (Davao Occidental)
82,27 November 2018 - 01:25 AM,126.36,003,2.2,022 km S 24° E of Bayabas (Surigao Del Sur)
83,26 November 2018 - 11:48 PM,119.97,026,2.1,005 km N 59° E of Candelaria (Zambales)
84,26 November 2018 - 08:40 PM,121.79,001,2.7,034 km S 81° E of Famy (Laguna)
85,26 November 2018 - 07:27 PM,121.80,001,2.4,045 km S 85° E of Dingalan (Aurora)
86,26 November 2018 - 07:18 PM,126.83,116,2.9,113 km S 48° E of Governor Generoso (Davao Occidental)
87,26 November 2018 - 06:45 PM,122.36,014,2.5,004 km N 57° W of Leon (Iloilo)
88,26 November 2018 - 06:57 AM,126.15,021,2.2,027 km S 02° W of General Luna (Surigao Del Norte)
89,26 November 2018 - 04:35 AM,120.08,015,3.7,003 km N 31° E of San Felipe (Zambales)
90,26 November 2018 - 04:04 AM,122.33,014,2.7,018 km N 83° W of Hinoba-an (Negros Occidental)
