,Date-Time,Lattitude,Longitude,Depth,Mag,Location
0,30 September 2018 - 11:57 PM,17.62,120.37,005,2.7,026 km N 83° W of Bangued (Abra)
1,30 September 2018 - 11:46 PM,05.81,125.28,187,2.7,011 km S 80° E of Glan (Sarangani)
2,30 September 2018 - 09:58 PM,19.02,121.12,005,2.9,046 km S 51° W of Calayan (Cagayan)
3,30 September 2018 - 09:05 PM,17.07,120.14,008,2.5,033 km S 87° W of Santa Cruz (Ilocos Sur)
4,30 September 2018 - 08:55 PM,17.04,120.18,019,2.9,029 km S 80° W of Santa Cruz (Ilocos Sur)
5,30 September 2018 - 08:42 PM,13.15,120.93,001,2.0,038 km S 82° W of Victoria (Oriental Mindoro)
6,30 September 2018 - 07:47 PM,09.86,126.13,001,3.0,003 km S 73° E of Pilar (Surigao Del Norte)
7,30 September 2018 - 05:35 PM,02.55,126.72,019,3.8,348 km S 23° E of Sarangani (Davao Occidental)
8,30 September 2018 - 04:24 PM,10.55,126.48,003,3.5,074 km N 37° E of Burgos (Surigao Del Norte)
9,30 September 2018 - 11:31 AM,09.41,125.41,001,2.2,014 km N 56° W of Jabonga (Agusan del Norte)
10,30 September 2018 - 09:52 AM,19.56,120.23,121,3.5,123 km N 21° W of Burgos (Ilocos Norte)
11,30 September 2018 - 07:12 AM,09.56,125.92,018,2.1,021 km S 85° E of Claver (Surigao Del Norte)
12,30 September 2018 - 06:52 AM,13.08,125.48,082,3.1,071 km N 34° E of Palapag (Northern Samar)
13,30 September 2018 - 06:08 AM,13.52,120.08,025,2.6,028 km S 40° W of Looc (Occidental Mindoro)
14,30 September 2018 - 06:02 AM,16.48,120.24,066,2.2,012 km S 60° W of Bauang (La Union)
15,30 September 2018 - 05:57 AM,05.74,126.87,130,2.9,134 km S 41° E of Governor Generoso (Davao Oriental)
16,30 September 2018 - 04:15 AM,10.49,126.37,003,2.7,061 km N 32° E of Burgos (Surigao Del Norte)
17,30 September 2018 - 03:27 AM,12.46,120.91,011,3.4,007 km N 89° W of Rizal (Occidental Mindoro)
18,30 September 2018 - 01:53 AM,04.35,127.56,033,4.0,261 km S 63° E of Sarangani (Davao Occidental)
19,30 September 2018 - 01:27 AM,06.44,126.83,020,2.5,079 km S 32° E of Tarragona (Davao Oriental)
20,30 September 2018 - 01:24 AM,06.90,126.61,115,2.5,036 km S 13° E of Manay (Davao Oriental)
21,29 September 2018 - 11:25 PM,07.02,125.37,009,2.7,027 km S 80° W of Davao City (Davao Del Sur)
22,29 September 2018 - 10:55 PM,08.35,126.64,052,2.6,033 km S 87° E of Hinatuan (Surigao Del Sur)
23,29 September 2018 - 10:05 PM,19.78,121.63,026,2.0,057 km N 18° E of Calayan (Cagayan)
